1.080484327:[2, 10],
1.080849639:[2, 10],
1.081282295:[2, 10],
1.081670523:[2, 10],
1.082032189:[2, 10],
1.082392917:[2, 10],
1.082755678:[2, 10],
1.083119793:[2, 10],
1.083483855:[2, 10],
1.083843907:[2, 10],
1.084204583:[2, 10],
1.084565052:[2, 10],
1.084930313:[2, 10],
1.085293855:[2, 10],
1.085659895:[2, 9],
1.086021614:[2, 9],
1.086380468:[2, 9],
1.086741041:[2, 9],
1.087100469:[2, 9],
1.0874625:[2, 9],
1.087824063:[2, 9],
1.088185677:[2, 9],
1.088561407:[2, 9],
1.08892125:[2, 9],
1.08936224:[2, 9],
1.089727344:[2, 9],
1.090087187:[2, 9],
1.090449218:[2, 9],
1.090811041:[2, 9],
1.091178644:[2, 9],
1.091541665:[2, 9],
1.091924843:[3, 7],
1.092287915:[3, 7],
1.092648488:[3, 7],
1.093011718:[3, 7],
1.093437186:[3, 7],
1.093802291:[3, 7],
1.094161145:[3, 7],
1.094521353:[3, 7],
1.09488328:[3, 7],
1.095258749:[3, 7],
1.095623124:[3, 7],
1.09598802:[3, 7],
1.096348281:[3, 7],
1.096707448:[3, 7],
1.097069948:[3, 7],
1.097430884:[3, 7],
1.097791927:[3, 7],
1.098428122:[3, 7],
1.098803799:[3, 7],
1.099177289:[3, 7],
1.099556091:[3, 7],
1.099940465:[3, 7],
1.100306455:[3, 7],
1.100673226:[3, 5],
1.101035308:[3, 5],
1.101395464:[3, 5],
1.101754423:[3, 5],
1.102248641:[3, 5],
1.102631506:[3, 5],
1.102994735:[3, 5],
1.103355152:[3, 5],
1.103718121:[3, 5],
1.104082132:[3, 5],
1.104443694:[3, 5],
1.104803173:[3, 5],
1.105164996:[3, 5],
1.105525152:[3, 5],
1.105890829:[3, 6],
1.106259058:[3, 6],
1.106612653:[3, 6],
1.106975883:[3, 6],
1.10733708:[3, 6],
1.107696039:[3, 6],
1.108062497:[3, 6],
1.10842859:[3, 6],
1.108788956:[3, 6],
1.109158903:[3, 6],
1.109518747:[3, 6],
1.1098796850000001:[3, 6],
1.110248383:[3, 6],
1.110606508:[3, 6],
1.110971092:[3, 6],
1.111332758:[3, 6],
1.111692706:[3, 6],
1.112055415:[3, 8],
1.112427031:[3, 8],
1.112805364:[3, 8],
1.113165885:[3, 8],
1.113528906:[3, 8],
1.113892968:[3, 8],
1.114253698:[3, 8],
1.114615573:[3, 8],
1.115057292:[3, 8],
1.115417343:[3, 8],
1.115776718:[3, 8],
1.11614125:[3, 8],
1.116503593:[3, 8],
1.116863385:[3, 8],
1.117230313:[3, 8],
1.117589375:[3, 8],
1.117947604:[3, 8],
1.118309635:[3, 8],
1.118670365:[3, 8],
1.119036354:[3, 10],
1.119426718:[3, 10],
1.119790468:[3, 10],
1.120426145:[3, 10],
1.120785781:[3, 10],
1.121150936:[3, 10],
1.12151427:[3, 10],
1.121877759:[3, 10],
1.122258801:[3, 10],
1.122625156:[3, 10],
1.122994686:[3, 10],
1.123359686:[3, 11],
1.123798228:[3, 11],
1.124162707:[3, 11],
1.124526093:[3, 11],
1.124888801:[3, 11],
1.125252291:[3, 11],
1.12561328:[3, 11],
1.1259784879999999:[3, 11],
1.126358852:[3, 11],
1.1267340080000001:[3, 11],
1.127101352:[3, 11],
1.127465362:[3, 11],
1.1278263:[3, 11],
1.12817932:[3, 11],
1.128540779:[3, 11],
1.128902914:[3, 11],
1.129268018:[3, 11],
1.129632444:[3, 11],
1.129995673:[3, 11],
1.13035635:[3, 11],
1.130716974:[3, 11],
1.131079683:[3, 11],
1.131441247:[3, 11],
1.131810257:[3, 11],
1.132166506:[3, 11],
1.13252786:[3, 11],
1.132889006:[3, 11],
1.133264943:[3, 11],
1.133627651:[3, 11],
1.133995515:[3, 11],
1.134359526:[3, 11],
1.134721974:[3, 11],
1.135086089:[3, 11],
1.135446454:[3, 11],
1.135808589:[3, 10],
1.136799057:[3, 10],
1.137519162:[3, 10],
1.137923537:[3, 10],
1.138313485:[3, 10],
1.138712027:[3, 10],
1.139157912:[3, 10],
1.139577912:[3, 10],
1.139969839:[3, 9],
1.140375047:[3, 9],
1.140775778:[3, 9],
1.141195778:[3, 9],
1.141713903:[3, 9],
1.142545206:[3, 9],
1.143013799:[3, 9],
1.143493904:[3, 9],
1.14397484:[3, 9],
1.144417392:[3, 9],
1.144848122:[3, 9],
1.145274268:[3, 9],
1.145694268:[3, 9],
1.146126715:[3, 9],
1.146545726:[3, 9],
1.1469679130000001:[3, 9],
1.147398694:[4, 8],
1.147822861:[4, 8],
1.148245829:[4, 8],
1.148677704:[4, 8],
1.149099995:[4, 8],
1.149512962:[4, 8],
1.149942597:[4, 8],
1.150522597:[4, 8],
1.150961139:[4, 8],
1.151384836:[4, 8],
1.151807597:[4, 8],
1.152226034:[4, 8],
1.15265218:[4, 8],
1.153071763:[4, 8],
1.153500826:[4, 8],
1.153929679:[4, 8],
1.154354107:[4, 8],
1.154779523:[4, 8],
1.1551982729999999:[4, 8],
1.155628585:[4, 8],
1.156051814:[4, 8],
1.156477022:[4, 8],
1.15689671:[4, 8],
1.15732197:[4, 8],
1.157758533:[4, 8],
1.158174679:[4, 10],
1.158599888:[4, 10],
1.159030721:[4, 10],
1.159582284:[4, 10],
1.160037076:[4, 10],
1.160469575:[4, 10],
1.160897388:[4, 10],
1.161325721:[4, 10],
1.1617563450000001:[4, 10],
1.162193741:[4, 10],
1.162627699:[4, 10],
1.163065094:[4, 11],
1.163493845:[4, 11],
1.163932542:[4, 11],
1.164501866:[4, 11],
1.164940095:[4, 11],
1.16536598:[4, 11],
1.166211084:[4, 11],
1.166674834:[4, 11],
1.1669246260000001:[4, 11],
1.167166919:[4, 11],
1.167398585:[4, 11],
1.167635669:[4, 11],
1.167868898:[4, 11],
1.168100512:[4, 11],
1.168332127:[4, 11],
1.168567752:[4, 11],
1.168806866:[4, 11],
1.169132803:[4, 13],
1.169372958:[4, 13],
1.169610875:[4, 13],
1.169849:[4, 13],
1.170083948:[4, 13],
1.1703197300000001:[4, 13],
1.17056228:[4, 13],
1.170799624:[4, 13],
1.171031916:[4, 13],
1.171255302:[4, 13],
1.171483322:[4, 13],
1.171699259:[4, 13],
1.1719244149999999:[4, 13],
1.172144468:[4, 13],
1.172373375:[4, 13],
1.172588479:[4, 13],
1.172815874:[4, 13],
1.173048688:[4, 14],
1.173276709:[4, 14],
1.173503636:[4, 14],
1.173706188:[4, 14],
1.1739098860000001:[4, 14],
1.17411098:[4, 14],
1.1743160320000001:[4, 14],
1.174519053:[4, 14],
1.174733583:[4, 14],
1.1749569690000001:[4, 14],
1.175175303:[4, 14],
1.175379157:[4, 14],
1.175580146:[4, 14],
1.175780615:[4, 14],
1.17598301:[4, 14],
1.176183375:[4, 14],
1.176387073:[4, 14],
1.176587334:[4, 14],
1.17678749:[4, 14],
1.176988323:[4, 15],
1.177189937:[4, 15],
1.177393688:[4, 15],
1.177594312:[4, 15],
1.17779775:[4, 15],
1.17799801:[4, 15],
1.17820176:[4, 15],
1.178401812:[4, 15],
1.178602646:[4, 15],
1.178805198:[4, 15],
1.179006084:[4, 15],
1.179207749:[4, 15],
1.179407854:[4, 15],
1.179609363:[4, 15],
1.179810561:[4, 15],
1.180011602:[4, 15],
1.180212331:[4, 15],
1.180412695:[4, 15],
1.180613164:[4, 15],
1.180816966:[4, 15],
1.181017696:[4, 15],
1.181219519:[4, 15],
1.181421238:[4, 15],
1.181625197:[4, 15],
1.181828947:[4, 15],
1.182029468:[5, 11],
1.182230562:[5, 11],
1.1824343640000001:[5, 11],
1.182637436:[5, 11],
1.182837695:[5, 11],
1.183039466:[5, 11],
1.18323957:[5, 11],
1.183441861:[5, 11],
1.183642226:[5, 11],
1.183843268:[5, 11],
1.184043633:[5, 11],
1.184245561:[5, 11],
1.184446291:[5, 11],
1.184648582:[5, 11],
1.184849311:[5, 11],
1.1850533730000001:[5, 11],
1.185256446:[5, 11],
1.185456446:[5, 11],
1.185656498:[5, 11],
1.185859936:[5, 11],
1.186063373:[5, 11],
1.186381081:[5, 11],
1.186584571:[5, 11],
1.1867855600000001:[5, 11],
1.186988373:[5, 11],
1.187192227:[5, 11],
1.187394519:[5, 11],
1.18759478:[5, 11],
1.187797227:[5, 11],
1.187998321:[5, 11],
1.188199571:[5, 11],
1.188401966:[5, 11],
1.188603268:[5, 11],
1.188803998:[5, 11],
1.189004935:[5, 11],
1.189243947:[5, 11],
1.189446759:[5, 11],
1.189646916:[5, 11],
1.189847853:[5, 11],
1.190051134:[5, 11],
