condition,message
0001100000,0
0001010001,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001000011,1
0001010000,0
0001010001,1
0001010001,1
0001000101,1
0001100001,1
0001100001,1
0001000101,1
0001000101,1
0001100001,1
0001100001,1
0001100001,1
0001100001,1
0001100001,1
0001010001,1
0001000011,0
0001000011,0
0001000011,0
0001000011,1
0001000101,0
0001010001,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001010001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001001001,0
0001001001,0
0001001001,0
0001001001,0
0001001001,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001010001,0
0001010001,0
0001000101,0
0001000101,0
0001000011,0
0001000011,0
0001000011,0
0001100001,0
0001100001,0
0001100001,0
0001000101,1
0001100001,1
0001100001,1
0001000101,1
0001000101,1
0001000101,1
0001010001,1
0001000101,1
0001100001,1
0001010001,1
0001000011,0
0001000011,0
0001000011,0
0001000011,1
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001100001,0
0001001001,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001010001,0
0001010001,0
0001010001,0
0001000101,0
0001000101,0
0001001001,0
0001010001,0
0001010001,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001100001,0
0001100001,0
0001100001,0
0001010001,1
0001010001,1
0001000101,1
0001000101,1
0001000101,1
0001010001,1
0001010001,1
0001010001,1
0001100001,1
0001100001,1
0001100001,1
0001100001,1
0001001001,1
0001001001,1
0001001001,1
0001000101,1
0001000101,1
0001000101,1
0001000101,1
0001000101,1
0001000011,1
0001000011,1
0001000101,1
0001000101,1
0001000101,1
0001100001,1
0001100001,1
0001100001,1
0001010001,1
0001010001,1
0001000101,1
0001100001,1
0001000101,1
0001010001,1
0001000011,1
0001000101,0
0001000101,0
0001010001,0
0001000101,0
0001000101,0
0001010001,0
0001010001,0
0001100001,0
0001100001,0
0001100001,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001000101,0
0001010001,0
0001010001,0
0001010001,0
0001010001,0
0001000101,0
0001000101,0
0001000101,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001000011,0
0001100001,0
0001001001,0
0001010001,1
0001000101,1
0001000101,1
0001010001,1
0001100001,1
0001100001,1
0001100001,1
0001100001,1
0001000101,1
0001000101,1
0001000011,1
0001000011,1
0001000011,1
0001000101,1
0001100001,1
0001010001,1
0010000010,0
0010000010,0
0010000010,1
0010100000,0
0010010000,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010001000,0
0010001000,0
0010001000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010000100,0
0010000100,0
0010000010,0
0010100000,0
0010010000,1
0010010001,1
0010100000,1
0010100000,1
0010100000,1
0010001000,1
0010000010,1
0010000010,1
0010000100,1
0010100000,1
0010010000,1
0010000010,0
0010000010,1
0010100000,0
0010010000,0
0010010000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010010000,0
0010100000,0
0010010000,1
0010100000,1
0010100000,1
0010100000,1
0010100000,1
0010000100,1
0010010000,1
0010100000,1
0010010000,1
0010100000,1
0010010000,1
0010100000,0
0010100000,0
0010010000,0
0010010000,0
0010000100,0
0010010000,0
0010010000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010001000,0
0010001000,0
0010001000,0
0010001000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010010000,0
0010010000,0
0010010000,0
0010000100,0
0010010000,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010100000,0
0010010000,1
0010010001,1
0010000100,1
0010010000,1
0010100000,1
0010100000,1
0010000100,1
0010000100,1
0010000010,1
0010100000,1
0010100000,1
0010000100,1
0010000100,1
0010000100,1
0010100000,1
0010010000,1
0010000010,0
0010000010,1
0010100000,0
0010100000,0
0010010000,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010000100,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010100000,0
0010001000,0
0010001000,0
0010000100,0
0010010000,0
0010010000,0
0010010000,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010000010,0
0010100000,1
0010010000,1
0010000100,1
0010000100,1
0010010000,1
0010100000,1
0010100000,1
0010100000,1
0010000100,1
0010000100,1
0010100000,1
0010100000,1
